,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
0,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__LR,0.915887850467,0.0541238800286,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.55, 'max_iter': 50, 'fit_intercept': True}",0.906046511628,0.0423638978111,"[ 0.93023256  0.95348837  0.90697674  0.93023256  0.88372093  0.86046512
  0.93023256  0.90697674  0.93023256  0.86046512  0.90697674  0.88372093
  0.93023256  0.86046512  0.93023256  0.90697674  0.88372093  0.90697674
  0.88372093  0.93023256  0.90697674  0.93023256  0.90697674  0.95348837
  0.95348837  0.90697674  0.93023256  0.8372093   0.97674419  0.86046512
  1.          0.93023256  0.93023256  0.93023256  0.95348837  0.8372093
  0.93023256  0.86046512  0.86046512  0.97674419  0.88372093  0.90697674
  0.86046512  0.97674419  0.93023256  0.8372093   0.93023256  0.86046512
  0.90697674  0.79069767  0.90697674  0.97674419  0.90697674  0.79069767
  0.95348837  0.88372093  0.90697674  0.86046512  0.97674419  0.86046512
  0.93023256  0.93023256  0.93023256  0.90697674  0.95348837  0.90697674
  0.95348837  0.8372093   0.93023256  0.88372093  0.93023256  0.90697674
  0.93023256  0.95348837  0.86046512  0.93023256  0.95348837  0.88372093
  0.90697674  0.93023256  0.88372093  0.86046512  0.95348837  0.93023256
  0.93023256  0.88372093  0.86046512  0.93023256  0.93023256  0.90697674
  0.8372093   0.90697674  0.88372093  0.97674419  0.81395349  0.90697674
  0.88372093  0.90697674  0.81395349  0.86046512]"
1,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__RF,0.897196261682,0.0544201508198,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 3, 'bootstrap': True}",0.893023255814,0.0454530704318,"[ 0.90697674  0.90697674  0.90697674  0.95348837  0.90697674  0.90697674
  0.93023256  0.90697674  0.90697674  0.86046512  0.90697674  0.86046512
  0.90697674  0.8372093   0.95348837  0.90697674  0.86046512  0.88372093
  0.90697674  0.95348837  0.88372093  0.93023256  0.88372093  0.93023256
  0.90697674  0.93023256  0.95348837  0.8372093   0.93023256  0.8372093
  0.97674419  0.95348837  0.93023256  0.8372093   0.93023256  0.8372093
  0.93023256  0.79069767  0.86046512  0.95348837  0.86046512  0.8372093
  0.81395349  0.95348837  0.95348837  0.8372093   0.88372093  0.8372093
  0.90697674  0.79069767  0.86046512  0.97674419  0.90697674  0.81395349
  0.95348837  0.86046512  0.86046512  0.79069767  0.97674419  0.86046512
  0.93023256  0.90697674  0.90697674  0.93023256  0.97674419  0.88372093
  0.95348837  0.8372093   0.90697674  0.88372093  0.90697674  0.86046512
  0.90697674  0.86046512  0.86046512  0.86046512  0.90697674  0.93023256
  0.93023256  0.93023256  0.86046512  0.88372093  0.97674419  0.88372093
  0.93023256  0.88372093  0.86046512  0.93023256  0.90697674  0.90697674
  0.8372093   0.88372093  0.88372093  0.88372093  0.8372093   0.88372093
  0.86046512  0.88372093  0.79069767  0.8372093 ]"
2,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__GBT,0.911214953271,0.0531262472337,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0, 'objective': 'binary:logistic'}",0.904651162791,0.0457495710998,"[ 0.90697674  0.93023256  0.95348837  0.90697674  0.90697674  0.88372093
  0.93023256  0.8372093   0.93023256  0.88372093  0.90697674  0.8372093
  0.90697674  0.88372093  0.95348837  0.95348837  0.93023256  0.76744186
  0.90697674  0.95348837  0.93023256  0.93023256  0.88372093  0.90697674
  0.88372093  0.90697674  0.86046512  0.86046512  0.93023256  0.8372093
  0.93023256  0.97674419  1.          0.86046512  0.95348837  0.90697674
  0.93023256  0.81395349  0.90697674  0.95348837  0.86046512  0.88372093
  0.81395349  0.93023256  0.97674419  0.86046512  0.90697674  0.90697674
  0.90697674  0.79069767  0.90697674  0.97674419  0.90697674  0.81395349
  0.93023256  0.8372093   0.86046512  0.86046512  1.          0.88372093
  0.93023256  0.93023256  0.93023256  0.93023256  0.97674419  0.8372093
  0.93023256  0.88372093  0.88372093  0.90697674  0.95348837  0.86046512
  0.93023256  0.88372093  0.93023256  0.90697674  0.88372093  0.95348837
  0.86046512  0.95348837  0.90697674  0.95348837  0.88372093  0.93023256
  1.          0.90697674  0.93023256  0.93023256  0.95348837  0.90697674
  0.86046512  0.93023256  0.90697674  0.93023256  0.81395349  0.90697674
  0.86046512  0.93023256  0.8372093   0.88372093]"
3,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SGD,0.934579439252,0.0468880046582,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 200, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'modified_huber', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.91488372093,0.0382443256943,"[ 0.93023256  0.95348837  0.90697674  0.93023256  0.88372093  0.93023256
  0.93023256  0.90697674  0.93023256  0.88372093  0.90697674  0.88372093
  0.8372093   0.88372093  0.93023256  0.90697674  0.88372093  0.88372093
  0.86046512  0.93023256  0.90697674  0.93023256  0.88372093  0.95348837
  0.95348837  0.88372093  0.93023256  0.86046512  0.97674419  0.88372093
  0.95348837  0.95348837  0.93023256  0.95348837  0.95348837  0.86046512
  0.93023256  0.86046512  0.93023256  1.          0.90697674  0.90697674
  0.86046512  0.95348837  0.97674419  0.88372093  0.93023256  0.90697674
  0.93023256  0.8372093   0.93023256  1.          0.90697674  0.8372093
  0.97674419  0.88372093  0.95348837  0.86046512  0.95348837  0.88372093
  0.97674419  0.95348837  0.93023256  0.93023256  0.97674419  0.95348837
  0.93023256  0.8372093   0.93023256  0.93023256  0.93023256  0.90697674
  0.90697674  0.95348837  0.88372093  0.93023256  0.95348837  0.93023256
  0.93023256  0.93023256  0.93023256  0.86046512  0.93023256  0.95348837
  0.93023256  0.88372093  0.86046512  0.93023256  0.93023256  0.90697674
  0.8372093   0.93023256  0.90697674  0.95348837  0.88372093  0.90697674
  0.88372093  0.90697674  0.81395349  0.88372093]"
4,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SVC,0.906542056075,0.0588015842571,"{'gamma': 0.01, 'kernel': 'sigmoid', 'random_state': 0, 'C': 0.25, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.899069767442,0.0430351963317,"[ 0.93023256  0.93023256  0.90697674  0.93023256  0.90697674  0.86046512
  0.88372093  0.90697674  0.93023256  0.86046512  0.88372093  0.86046512
  0.95348837  0.86046512  0.95348837  0.88372093  0.86046512  0.86046512
  0.90697674  0.90697674  0.93023256  0.93023256  0.90697674  0.93023256
  0.93023256  0.93023256  0.90697674  0.81395349  0.95348837  0.8372093
  0.97674419  0.90697674  0.93023256  0.88372093  0.90697674  0.8372093
  0.90697674  0.86046512  0.86046512  0.95348837  0.88372093  0.90697674
  0.88372093  0.97674419  0.90697674  0.86046512  0.90697674  0.86046512
  0.88372093  0.76744186  0.90697674  0.97674419  0.90697674  0.81395349
  0.95348837  0.90697674  0.88372093  0.88372093  0.97674419  0.86046512
  0.93023256  0.93023256  0.93023256  0.90697674  0.93023256  0.88372093
  0.95348837  0.8372093   0.93023256  0.86046512  0.93023256  0.90697674
  0.93023256  0.93023256  0.8372093   0.97674419  0.95348837  0.90697674
  0.88372093  0.93023256  0.90697674  0.81395349  0.95348837  0.90697674
  0.90697674  0.88372093  0.86046512  0.93023256  0.93023256  0.90697674
  0.81395349  0.90697674  0.90697674  0.88372093  0.79069767  0.90697674
  0.88372093  0.90697674  0.79069767  0.86046512]"
5,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__LR,0.864485981308,0.0752255968085,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.25, 'max_iter': 50, 'fit_intercept': True}",0.86023255814,0.048947273538,"[ 0.90697674  0.90697674  0.88372093  0.93023256  0.8372093   0.81395349
  0.8372093   0.88372093  0.88372093  0.79069767  0.88372093  0.86046512
  0.88372093  0.81395349  0.88372093  0.88372093  0.86046512  0.86046512
  0.86046512  0.88372093  0.81395349  0.8372093   0.88372093  0.86046512
  0.86046512  0.93023256  0.8372093   0.74418605  0.93023256  0.86046512
  0.97674419  0.88372093  0.86046512  0.8372093   0.93023256  0.81395349
  0.8372093   0.74418605  0.86046512  0.95348837  0.81395349  0.86046512
  0.86046512  0.90697674  0.90697674  0.81395349  0.88372093  0.76744186
  0.8372093   0.79069767  0.8372093   0.93023256  0.81395349  0.79069767
  0.90697674  0.8372093   0.81395349  0.81395349  0.90697674  0.88372093
  0.88372093  0.90697674  0.90697674  0.90697674  0.86046512  0.79069767
  0.90697674  0.79069767  0.95348837  0.8372093   0.93023256  0.86046512
  0.88372093  0.88372093  0.81395349  0.8372093   0.88372093  0.86046512
  0.88372093  0.88372093  0.81395349  0.8372093   0.88372093  0.90697674
  0.93023256  0.8372093   0.90697674  0.81395349  0.90697674  0.86046512
  0.72093023  0.88372093  0.81395349  0.90697674  0.76744186  0.8372093
  0.88372093  0.86046512  0.76744186  0.8372093 ]"
6,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.845794392523,0.0832725012671,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 3, 'bootstrap': True}",0.83023255814,0.0451546228813,"[ 0.8372093   0.90697674  0.81395349  0.86046512  0.76744186  0.81395349
  0.81395349  0.79069767  0.88372093  0.81395349  0.74418605  0.81395349
  0.8372093   0.81395349  0.81395349  0.86046512  0.74418605  0.8372093
  0.8372093   0.88372093  0.81395349  0.8372093   0.81395349  0.81395349
  0.86046512  0.79069767  0.79069767  0.74418605  0.86046512  0.8372093
  0.86046512  0.86046512  0.86046512  0.81395349  0.90697674  0.74418605
  0.8372093   0.74418605  0.86046512  0.93023256  0.79069767  0.81395349
  0.81395349  0.88372093  0.88372093  0.74418605  0.81395349  0.76744186
  0.81395349  0.76744186  0.86046512  0.90697674  0.81395349  0.76744186
  0.88372093  0.8372093   0.79069767  0.76744186  0.8372093   0.88372093
  0.76744186  0.86046512  0.88372093  0.90697674  0.88372093  0.79069767
  0.90697674  0.81395349  0.90697674  0.79069767  0.88372093  0.88372093
  0.8372093   0.76744186  0.79069767  0.8372093   0.90697674  0.8372093
  0.8372093   0.88372093  0.76744186  0.8372093   0.8372093   0.8372093
  0.88372093  0.8372093   0.8372093   0.8372093   0.86046512  0.76744186
  0.81395349  0.86046512  0.81395349  0.8372093   0.76744186  0.8372093
  0.8372093   0.86046512  0.76744186  0.8372093 ]"
7,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.855140186916,0.0718513633169,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.8, 'objective': 'binary:logistic'}",0.841162790698,0.0478928631276,"[ 0.88372093  0.90697674  0.86046512  0.8372093   0.81395349  0.81395349
  0.8372093   0.86046512  0.88372093  0.79069767  0.76744186  0.8372093
  0.88372093  0.81395349  0.86046512  0.88372093  0.8372093   0.79069767
  0.86046512  0.86046512  0.81395349  0.86046512  0.8372093   0.86046512
  0.86046512  0.79069767  0.79069767  0.74418605  0.88372093  0.8372093
  0.93023256  0.88372093  0.86046512  0.81395349  0.93023256  0.81395349
  0.8372093   0.74418605  0.86046512  0.95348837  0.86046512  0.79069767
  0.86046512  0.90697674  0.90697674  0.74418605  0.86046512  0.76744186
  0.8372093   0.74418605  0.81395349  0.93023256  0.81395349  0.76744186
  0.88372093  0.8372093   0.81395349  0.81395349  0.88372093  0.88372093
  0.79069767  0.88372093  0.8372093   0.90697674  0.90697674  0.79069767
  0.90697674  0.81395349  0.88372093  0.81395349  0.90697674  0.86046512
  0.86046512  0.79069767  0.79069767  0.8372093   0.88372093  0.86046512
  0.86046512  0.88372093  0.8372093   0.8372093   0.88372093  0.76744186
  0.90697674  0.8372093   0.79069767  0.81395349  0.8372093   0.86046512
  0.72093023  0.90697674  0.81395349  0.8372093   0.76744186  0.8372093
  0.8372093   0.86046512  0.76744186  0.81395349]"
8,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.873831775701,0.0682903161698,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 50, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'modified_huber', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.839534883721,0.0530823823745,"[ 0.8372093   0.88372093  0.90697674  0.90697674  0.8372093   0.79069767
  0.88372093  0.8372093   0.81395349  0.81395349  0.79069767  0.86046512
  0.88372093  0.81395349  0.86046512  0.88372093  0.8372093   0.8372093
  0.8372093   0.86046512  0.74418605  0.86046512  0.79069767  0.81395349
  0.88372093  0.8372093   0.76744186  0.72093023  0.79069767  0.86046512
  0.93023256  0.88372093  0.86046512  0.79069767  0.81395349  0.76744186
  0.8372093   0.79069767  0.90697674  0.95348837  0.8372093   0.76744186
  0.81395349  0.93023256  0.90697674  0.79069767  0.93023256  0.79069767
  0.79069767  0.72093023  0.81395349  0.79069767  0.86046512  0.79069767
  0.8372093   0.81395349  0.81395349  0.74418605  0.90697674  0.88372093
  0.8372093   0.88372093  0.93023256  0.86046512  0.88372093  0.79069767
  0.8372093   0.8372093   0.93023256  0.81395349  0.88372093  0.8372093
  0.86046512  0.90697674  0.81395349  0.74418605  0.8372093   0.79069767
  0.79069767  0.88372093  0.81395349  0.81395349  0.86046512  0.90697674
  0.93023256  0.86046512  0.86046512  0.90697674  0.88372093  0.81395349
  0.76744186  0.88372093  0.79069767  0.90697674  0.72093023  0.86046512
  0.88372093  0.86046512  0.74418605  0.81395349]"
9,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.864485981308,0.0713119799653,"{'gamma': 0.01, 'kernel': 'linear', 'random_state': 0, 'C': 0.5, 'max_iter': 50, 'shrinking': True, 'degree': 2}",0.853720930233,0.0456068984184,"[ 0.81395349  0.90697674  0.88372093  0.88372093  0.8372093   0.81395349
  0.88372093  0.8372093   0.86046512  0.8372093   0.86046512  0.88372093
  0.88372093  0.76744186  0.88372093  0.90697674  0.81395349  0.88372093
  0.8372093   0.88372093  0.86046512  0.88372093  0.86046512  0.8372093
  0.8372093   0.90697674  0.8372093   0.76744186  0.88372093  0.86046512
  0.88372093  0.8372093   0.81395349  0.81395349  0.93023256  0.76744186
  0.8372093   0.79069767  0.86046512  0.93023256  0.81395349  0.86046512
  0.86046512  0.93023256  0.90697674  0.81395349  0.90697674  0.81395349
  0.86046512  0.76744186  0.8372093   0.88372093  0.8372093   0.79069767
  0.90697674  0.79069767  0.81395349  0.81395349  0.88372093  0.86046512
  0.81395349  0.93023256  0.93023256  0.90697674  0.93023256  0.8372093
  0.86046512  0.86046512  0.90697674  0.81395349  0.93023256  0.88372093
  0.88372093  0.86046512  0.79069767  0.8372093   0.88372093  0.79069767
  0.93023256  0.86046512  0.81395349  0.8372093   0.90697674  0.88372093
  0.88372093  0.86046512  0.86046512  0.8372093   0.8372093   0.86046512
  0.74418605  0.88372093  0.86046512  0.88372093  0.72093023  0.86046512
  0.86046512  0.8372093   0.74418605  0.8372093 ]"
