,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
0,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__LR,1.0,0.0,"{'n_jobs': 1, 'random_state': 0, 'max_iter': 50, 'C': 0.1, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.985238095238,0.0249216459202,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.95238095  1.          1.          1.          1.
  0.95238095  0.95238095  1.          1.          1.          1.
  0.95238095  0.95238095  1.          1.          1.          0.95238095
  1.          1.          1.          0.95238095  0.95238095  1.          1.
  0.95238095  1.          1.          1.          0.95238095  1.          1.
  1.          0.95238095  0.95238095  0.9047619   0.95238095  1.          1.
  1.          1.          1.          1.          1.          0.9047619   1.
  1.          0.95238095  0.95238095  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.95238095  0.95238095  1.          0.95238095  1.          1.          1.
  1.          1.          0.95238095  1.          1.          0.95238095
  1.          1.          1.          1.          1.          0.95238095
  1.          1.          1.          1.          0.9047619   1.          1.
  0.95238095  0.95238095  1.          0.95238095  1.          0.95238095
  1.        ]"
1,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__RF,1.0,0.0,"{'n_jobs': 1, 'verbose': 0, 'min_samples_leaf': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'max_depth': 2, 'oob_score': False, 'random_state': 0, 'warm_start': False, 'bootstrap': True, 'max_features': 0.5, 'min_samples_split': 2, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'class_weight': None}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
2,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__GBT,1.0,0.0,"{'objective': 'binary:logistic', 'silent': True, 'subsample': 1.0, 'nthread': 1, 'learning_rate': 0.01, 'base_score': 0.5, 'gamma': 0, 'colsample_bytree': 1.0, 'n_estimators': 100, 'seed': 0, 'max_depth': 2}",0.998571428571,0.0142141062444,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.85714286  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
3,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SGD,1.0,0.0,"{'n_jobs': -1, 'eta0': 0.0, 'shuffle': True, 'learning_rate': 'optimal', 'class_weight': None, 'verbose': 0, 'l1_ratio': 0, 'loss': 'hinge', 'alpha': 0.001, 'power_t': 0.5, 'epsilon': 0.1, 'fit_intercept': True, 'n_iter': 50, 'penalty': 'elasticnet', 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SVC,1.0,0.0,"{'random_state': 0, 'max_iter': 50, 'gamma': 0.01, 'degree': 2, 'kernel': 'linear', 'C': 0.05, 'shrinking': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
5,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__LR,0.990196078431,0.0297367664473,"{'n_jobs': 1, 'random_state': 0, 'max_iter': 50, 'C': 0.05, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.988571428571,0.0203372919086,"[ 0.95238095  1.          0.95238095  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.95238095  0.95238095  1.          0.95238095  1.          0.95238095
  1.          1.          0.95238095  1.          1.          0.95238095
  1.          1.          1.          1.          0.95238095  0.95238095
  1.          1.          1.          1.          1.          1.          1.
  0.95238095  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.95238095  1.
  0.95238095  1.          0.95238095  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.95238095  1.          0.95238095  0.95238095  0.95238095  0.95238095
  1.          1.          1.          1.          0.95238095  0.95238095
  0.95238095  1.          1.          0.95238095  1.          0.95238095
  1.          1.          1.        ]"
6,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.970588235294,0.0635366735138,"{'n_jobs': 1, 'verbose': 0, 'min_samples_leaf': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'max_depth': 2, 'oob_score': False, 'random_state': 0, 'warm_start': False, 'bootstrap': True, 'max_features': 0.5, 'min_samples_split': 2, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'class_weight': None}",0.975238095238,0.0319296278366,"[ 0.95238095  1.          0.95238095  1.          1.          1.          1.
  0.95238095  1.          0.95238095  1.          0.95238095  0.95238095
  0.95238095  1.          0.9047619   1.          1.          1.          1.
  0.95238095  1.          0.95238095  1.          0.95238095  0.95238095
  1.          0.95238095  0.9047619   1.          0.9047619   1.
  0.95238095  1.          0.95238095  0.95238095  1.          1.          0.9047619
  1.          1.          1.          0.95238095  0.95238095  0.95238095
  1.          1.          1.          0.95238095  1.          1.          1.
  1.          1.          1.          1.          0.95238095  1.          1.
  1.          0.95238095  1.          0.95238095  0.95238095  1.
  0.95238095  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.9047619   1.
  0.95238095  0.95238095  0.9047619   0.95238095  0.95238095  0.95238095
  0.9047619   0.9047619   1.          1.          0.95238095  0.9047619
  0.95238095  1.          1.          0.95238095  1.          0.9047619   1.
  1.          1.        ]"
7,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.970588235294,0.0635366735138,"{'objective': 'binary:logistic', 'silent': True, 'subsample': 1.0, 'nthread': 1, 'learning_rate': 0.01, 'base_score': 0.5, 'gamma': 0, 'colsample_bytree': 1.0, 'n_estimators': 100, 'seed': 0, 'max_depth': 2}",0.979523809524,0.0271512100765,"[ 0.95238095  1.          0.95238095  1.          1.          1.          1.
  0.95238095  1.          0.95238095  1.          0.95238095  0.95238095
  1.          1.          0.9047619   1.          1.          1.          1.
  0.95238095  1.          0.95238095  1.          0.95238095  1.          1.
  0.95238095  0.95238095  1.          0.95238095  1.          0.95238095
  1.          0.95238095  0.95238095  1.          1.          0.95238095
  1.          1.          1.          0.95238095  0.95238095  0.95238095
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.95238095  1.          1.
  1.          0.95238095  1.          0.95238095  0.95238095  1.
  0.95238095  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.9047619   1.
  0.95238095  0.95238095  0.95238095  0.95238095  0.95238095  0.95238095
  0.9047619   0.9047619   1.          1.          0.95238095  0.95238095
  0.95238095  1.          1.          0.95238095  1.          0.95238095
  1.          1.          1.        ]"
8,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.990196078431,0.0297367664473,"{'n_jobs': -1, 'eta0': 0.0, 'shuffle': True, 'learning_rate': 'optimal', 'class_weight': None, 'verbose': 0, 'l1_ratio': 1.0, 'loss': 'modified_huber', 'alpha': 0.5, 'power_t': 0.5, 'epsilon': 0.1, 'fit_intercept': True, 'n_iter': 50, 'penalty': 'elasticnet', 'random_state': 0}",0.984761904762,0.0276682648502,"[ 1.          1.          0.95238095  1.          1.          1.          1.
  0.95238095  1.          0.95238095  1.          1.          0.95238095
  1.          1.          0.95238095  1.          1.          1.          1.
  1.          1.          0.95238095  1.          1.          1.          1.
  0.95238095  0.9047619   1.          0.85714286  1.          0.95238095
  1.          0.95238095  1.          1.          1.          0.95238095
  1.          0.95238095  1.          1.          0.95238095  0.95238095
  1.          1.          1.          1.          1.          1.          1.
  0.95238095  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.95238095  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.95238095  1.          1.
  0.95238095  0.95238095  0.95238095  0.95238095  1.          0.95238095
  0.9047619   1.          1.          1.          0.95238095  1.          1.
  1.          0.9047619   1.          0.95238095  1.          1.          1.        ]"
9,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.980392156863,0.0594735328945,"{'random_state': 0, 'max_iter': 50, 'gamma': 0.01, 'degree': 2, 'kernel': 'linear', 'C': 0.05, 'shrinking': True}",0.984761904762,0.0259774889466,"[ 1.          1.          1.          1.          1.          1.          1.
  0.95238095  1.          0.95238095  1.          0.95238095  0.95238095
  0.95238095  1.          0.9047619   1.          1.          1.          1.
  0.95238095  1.          0.95238095  1.          0.95238095  0.95238095
  1.          1.          0.95238095  1.          1.          1.
  0.95238095  1.          0.95238095  1.          1.          1.
  0.95238095  1.          1.          1.          0.95238095  0.95238095
  1.          1.          1.          1.          0.95238095  1.          1.
  1.          1.          1.          1.          1.          0.95238095
  1.          1.          1.          0.95238095  1.          0.95238095
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.9047619   1.          0.95238095  0.95238095  1.          1.
  0.95238095  0.95238095  0.9047619   0.9047619   1.          1.          1.
  1.          1.          1.          1.          0.95238095  1.          1.
  1.          1.          1.        ]"
