,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
0,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__LR,0.982,0.014,"{'n_jobs': 1, 'random_state': 0, 'max_iter': 50, 'C': 0.05, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.9793,0.0131343062245,"[ 0.99  0.99  0.96  0.97  0.97  0.99  0.99  0.99  0.98  0.97  0.98  0.99
  0.95  0.96  0.99  0.96  0.99  0.98  0.97  1.    0.99  0.97  0.99  0.99
  0.97  0.97  0.98  0.99  0.98  0.97  0.95  0.95  0.97  0.99  0.97  0.98
  0.99  0.99  0.97  0.99  0.99  0.99  0.96  0.99  0.97  0.99  0.96  0.98
  0.99  1.    0.98  0.97  0.99  0.98  0.97  0.96  0.97  0.95  0.98  1.
  0.98  0.97  0.95  0.99  0.97  0.99  1.    0.97  0.99  0.99  0.98  0.99
  0.98  0.99  0.98  0.98  0.97  0.99  0.99  0.98  0.99  0.98  1.    0.98
  0.99  0.98  0.97  1.    0.96  0.98  0.97  1.    0.95  0.99  0.98  0.98
  0.96  0.98  0.97  1.  ]"
1,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__RF,0.98,0.01788854382,"{'n_jobs': 1, 'verbose': 0, 'min_samples_leaf': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'max_depth': 2, 'oob_score': False, 'random_state': 0, 'warm_start': False, 'bootstrap': True, 'max_features': 0.5, 'min_samples_split': 2, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'class_weight': None}",0.9763,0.0136128615654,"[ 0.99  0.98  0.95  0.97  0.96  0.99  0.99  0.99  0.97  0.99  0.96  0.98
  0.95  0.96  0.99  0.97  0.98  0.97  0.97  1.    0.99  0.97  0.98  0.99
  0.97  0.96  0.97  0.99  0.98  0.97  0.95  0.96  0.98  0.99  0.98  0.97
  0.97  0.99  0.96  0.99  0.98  0.98  0.95  0.98  0.97  0.99  0.98  0.98
  0.98  1.    0.98  0.97  0.99  0.98  0.97  0.96  0.97  0.94  0.98  1.
  0.97  0.99  0.95  0.99  0.97  0.97  1.    0.95  0.99  0.98  0.98  0.99
  0.99  0.99  0.98  0.96  0.96  0.99  0.99  0.99  0.98  0.98  0.98  0.97
  0.99  0.98  0.96  1.    0.96  0.98  0.96  0.99  0.96  0.97  0.98  0.98
  0.95  0.97  0.97  0.99]"
2,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__GBT,0.982,0.014,"{'objective': 'binary:logistic', 'silent': True, 'subsample': 1.0, 'nthread': 1, 'learning_rate': 0.01, 'base_score': 0.5, 'gamma': 0, 'colsample_bytree': 1.0, 'n_estimators': 100, 'seed': 0, 'max_depth': 2}",0.9771,0.0142334113971,"[ 0.99  0.99  0.95  0.94  0.96  0.99  0.99  0.99  0.98  0.99  0.97  0.99
  0.95  0.96  0.99  0.97  0.99  0.98  0.97  1.    0.99  0.97  0.99  0.99
  0.97  0.97  0.98  0.99  0.98  0.97  0.95  0.96  0.98  0.99  0.98  0.97
  0.98  0.99  0.97  0.99  0.99  0.98  0.96  0.98  0.97  0.99  0.97  0.98
  0.99  1.    0.98  0.97  0.99  0.98  0.97  0.96  0.97  0.94  0.98  1.
  0.97  0.99  0.94  0.99  0.97  0.97  1.    0.96  0.99  0.96  0.98  0.99
  0.99  0.99  0.98  0.96  0.97  0.99  0.99  0.99  0.98  0.98  0.97  0.97
  0.99  0.98  0.96  1.    0.96  0.98  0.95  0.99  0.96  0.97  0.97  0.98
  0.96  0.97  0.97  1.  ]"
3,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SGD,0.98,0.01788854382,"{'n_jobs': -1, 'eta0': 0.0, 'shuffle': True, 'learning_rate': 'optimal', 'class_weight': None, 'verbose': 0, 'l1_ratio': 0, 'loss': 'log', 'alpha': 0.001, 'power_t': 0.5, 'epsilon': 0.1, 'fit_intercept': True, 'n_iter': 50, 'penalty': 'elasticnet', 'random_state': 0}",0.9778,0.0130061523903,"[ 0.99  0.98  0.96  0.97  0.96  0.99  0.99  0.99  0.97  0.99  0.96  0.98
  0.96  0.97  0.99  0.97  0.98  0.97  0.97  1.    0.99  0.97  0.98  0.99
  0.97  0.96  0.97  0.99  0.99  0.97  0.95  0.97  0.98  0.99  0.98  0.97
  0.98  0.99  0.97  1.    0.99  0.98  0.95  0.98  0.98  0.99  0.97  0.98
  0.99  1.    0.98  0.98  0.99  0.98  0.96  0.96  0.97  0.95  0.98  1.
  0.97  0.99  0.95  0.99  0.97  0.98  1.    0.95  0.99  0.97  0.98  0.99
  0.99  0.99  0.98  0.97  0.96  0.99  0.99  0.99  0.98  0.98  0.99  0.97
  0.99  0.99  0.96  1.    0.96  0.98  0.96  0.99  0.96  0.98  0.97  0.98
  0.96  0.97  0.97  0.99]"
4,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SVC,0.98,0.01788854382,"{'random_state': 0, 'max_iter': 50, 'gamma': 0.01, 'degree': 2, 'kernel': 'rbf', 'C': 0.05, 'shrinking': True}",0.9783,0.012494398745,"[ 0.99  0.98  0.96  0.97  0.96  0.99  1.    0.99  0.97  0.99  0.96  0.98
  0.96  0.96  0.99  0.97  0.98  0.97  0.97  0.99  0.99  0.97  0.98  0.99
  0.97  0.96  0.97  0.99  0.99  0.97  0.95  0.97  0.98  0.99  0.98  0.97
  0.97  0.99  0.97  0.99  0.99  0.98  0.97  0.98  0.98  0.99  0.99  0.98
  0.98  1.    0.98  0.98  0.99  0.99  0.97  0.96  0.97  0.95  0.98  1.
  0.97  0.99  0.95  0.99  0.97  0.98  1.    0.96  0.99  0.98  0.98  1.
  0.99  0.99  0.98  0.96  0.97  0.98  0.99  0.99  0.98  0.98  0.98  0.98
  0.99  0.99  0.96  1.    0.96  0.98  0.96  0.99  0.95  0.98  0.98  0.98
  0.97  0.97  0.97  0.99]"
5,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__LR,0.96,0.02,"{'n_jobs': 1, 'random_state': 0, 'max_iter': 50, 'C': 0.25, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9556,0.0196631635298,"[ 0.97  0.98  0.9   0.91  0.93  0.99  0.96  0.99  0.96  0.97  0.93  0.97
  0.94  0.95  0.98  0.96  0.97  0.95  0.96  0.97  0.97  0.95  0.97  0.97
  0.96  0.95  0.94  0.97  0.97  0.91  0.92  0.93  0.95  0.97  0.96  0.94
  0.95  0.99  0.95  0.98  0.97  0.96  0.93  0.94  0.96  0.95  0.96  0.95
  0.97  1.    0.96  0.96  0.98  0.96  0.94  0.94  0.96  0.93  0.95  0.99
  0.94  0.97  0.94  0.96  0.96  0.95  0.98  0.95  0.97  0.95  0.93  0.97
  0.97  0.95  0.94  0.92  0.95  0.98  0.97  0.97  0.96  0.96  0.97  0.95
  0.97  0.97  0.93  0.99  0.92  0.95  0.94  0.95  0.93  0.96  0.94  0.95
  0.91  0.96  0.95  0.98]"
6,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.962,0.0302654919008,"{'n_jobs': 1, 'verbose': 0, 'min_samples_leaf': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'max_depth': 7, 'oob_score': False, 'random_state': 0, 'warm_start': False, 'bootstrap': True, 'max_features': 0.5, 'min_samples_split': 2, 'criterion': 'entropy', 'min_weight_fraction_leaf': 0.0, 'class_weight': None}",0.9528,0.016916264363,"[ 0.98  0.97  0.91  0.92  0.93  0.97  0.94  0.96  0.96  0.97  0.93  0.95
  0.93  0.94  0.96  0.97  0.96  0.96  0.96  0.95  0.97  0.96  0.94  0.97
  0.95  0.96  0.94  0.95  0.95  0.92  0.93  0.94  0.95  0.97  0.96  0.94
  0.95  0.99  0.96  0.94  0.95  0.96  0.94  0.95  0.95  0.95  0.96  0.96
  0.96  1.    0.97  0.96  0.98  0.93  0.95  0.93  0.97  0.93  0.95  0.95
  0.93  0.96  0.94  0.96  0.96  0.95  0.98  0.95  0.97  0.95  0.94  0.96
  0.96  0.95  0.94  0.9   0.96  0.97  0.95  0.97  0.96  0.97  0.95  0.96
  0.97  0.97  0.94  0.97  0.94  0.96  0.95  0.97  0.92  0.95  0.94  0.96
  0.91  0.96  0.96  0.96]"
7,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.966,0.0310483493925,"{'objective': 'binary:logistic', 'silent': True, 'subsample': 0.6, 'nthread': 1, 'learning_rate': 0.5, 'base_score': 0.5, 'gamma': 0, 'colsample_bytree': 1.0, 'n_estimators': 100, 'seed': 0, 'max_depth': 3}",0.9527,0.017196220515,"[ 0.98  0.97  0.9   0.92  0.95  0.96  0.95  0.95  0.97  0.97  0.94  0.96
  0.94  0.96  0.98  0.96  0.94  0.97  0.96  0.93  0.95  0.97  0.95  0.97
  0.94  0.96  0.95  0.95  0.96  0.93  0.94  0.93  0.96  0.97  0.96  0.95
  0.96  0.98  0.97  0.95  0.94  0.94  0.94  0.95  0.97  0.96  0.95  0.95
  0.98  0.97  0.97  0.95  0.99  0.92  0.96  0.91  0.97  0.93  0.95  0.96
  0.94  0.96  0.95  0.96  0.97  0.95  0.97  0.94  0.96  0.95  0.94  0.96
  0.97  0.97  0.94  0.91  0.94  0.98  0.95  0.97  0.95  0.97  0.96  0.96
  0.96  0.95  0.92  0.95  0.94  0.94  0.93  0.97  0.93  0.93  0.94  0.97
  0.92  0.95  0.97  0.96]"
8,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.966,0.0269072480941,"{'n_jobs': -1, 'eta0': 0.0, 'shuffle': True, 'learning_rate': 'optimal', 'class_weight': None, 'verbose': 0, 'l1_ratio': 0, 'loss': 'hinge', 'alpha': 0.001, 'power_t': 0.5, 'epsilon': 0.1, 'fit_intercept': True, 'n_iter': 50, 'penalty': 'elasticnet', 'random_state': 0}",0.9572,0.0169752761391,"[ 0.97  0.97  0.92  0.93  0.93  0.98  0.94  0.97  0.96  0.96  0.94  0.98
  0.95  0.95  0.98  0.97  0.97  0.96  0.95  0.97  0.97  0.96  0.95  0.98
  0.95  0.95  0.95  0.98  0.96  0.91  0.93  0.94  0.96  0.96  0.96  0.94
  0.96  0.99  0.95  0.95  0.96  0.95  0.94  0.93  0.94  0.95  0.97  0.95
  0.97  0.99  0.97  0.96  0.98  0.96  0.96  0.92  0.96  0.93  0.94  0.99
  0.93  0.99  0.94  0.99  0.95  0.95  0.97  0.96  0.97  0.97  0.94  0.97
  0.98  0.96  0.96  0.95  0.96  0.98  0.97  0.96  0.95  0.97  0.97  0.95
  0.97  0.97  0.94  0.98  0.94  0.97  0.95  0.96  0.93  0.97  0.94  0.95
  0.94  0.95  0.95  0.95]"
9,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.962,0.0227156333832,"{'random_state': 0, 'max_iter': 50, 'gamma': 0.01, 'degree': 2, 'kernel': 'linear', 'C': 0.15000000000000002, 'shrinking': True}",0.9573,0.0182129075109,"[ 0.98  0.97  0.91  0.91  0.93  0.97  0.94  0.99  0.96  0.97  0.93  0.96
  0.94  0.95  0.98  0.96  0.95  0.96  0.95  0.95  0.98  0.96  0.96  0.97
  0.96  0.96  0.95  0.98  0.97  0.92  0.92  0.94  0.95  0.95  0.96  0.96
  0.95  0.98  0.95  0.96  0.96  0.97  0.93  0.95  0.95  0.95  0.97  0.96
  0.96  1.    0.97  0.96  0.98  0.97  0.96  0.93  0.97  0.93  0.95  0.99
  0.93  0.98  0.94  0.97  0.97  0.95  0.97  0.95  0.97  0.96  0.95  0.98
  0.97  0.97  0.94  0.92  0.96  0.98  0.97  0.96  0.96  0.97  0.97  0.96
  0.98  0.97  0.93  0.99  0.94  0.96  0.95  0.96  0.93  0.96  0.94  0.96
  0.92  0.95  0.96  0.98]"
